"year4","sampledate","month","daynum","tot_precip","avg_air_temp","max_air_temp","time_max_air_temp","min_air_temp","time_min_air_temp","avg_rel_hum","max_rel_hum","time_max_rel_hum","min_rel_hum","time_min_rel_hum","avg_vapor_pres","avg_vapor_pres_deficit","peak_wind_speed_5sec","time_peak_wind_speed_5s","avg_wind_speed","resultant_wind_speed","resultant_wind_direction","std_dev_wind_direction","avg_par","max_wind_speed_1min","time_max_wind_speed_1min","direction_peak_wind","avg_dewpoint_temp","max_dewpoint_temp","time_max_dewpoint_temp","min_dewpoint_temp","time_min_dewpoint_temp","avg_sol_rad","avg_longwave_rad","avg_shortwave_rad","min_battery","flag_tot_precip","flag_avg_air_temp","flag_max_air_temp","flag_time_max_air_temp","flag_min_air_temp","flag_time_min_air_temp","flag_avg_rel_hum","flag_max_rel_hum","flag_time_max_rel_hum","flag_min_rel_hum","flag_time_min_rel_hum","flag_avg_vapor_pres","flag_avg_vapor_pres_deficit","flag_peak_wind_speed_5sec","flag_time_peak_wind_speed_5s","flag_avg_wind_speed","flag_resultant_wind_speed","flag_resultant_wind_direction","flag_std_dev_wind_direction","flag_avg_par","flag_max_wind_speed_1min","flag_time_max_wind_speed_1min","flag_direction_peak_wind","flag_avg_dewpoint_temp","flag_max_dewpoint_temp","flag_time_max_dewpoint_temp","flag_min_dewpoint_temp","flag_time_min_dewpoint_temp","flag_avg_sol_rad","flag_avg_longwave_rad","flag_avg_shortwave_rad","flag_min_battery"
1989,"1989-02-10",2,41,0.000,-10.370,-5.218,1430,-17.170,703,77.200,93.000,2033,53.060,1408,0.220,0.071,14.090,1333,4.168,1.369,,,160.300,10.370,1458,,-13.780,-7.150,2037,-19.230,700,76.000,,,9.890,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-11",2,42,0.000,-7.810,-3.216,1504,-12.350,503,71.200,91.900,553,48.390,1444,0.236,0.111,12.100,1332,4.176,2.375,,,198.200,9.710,1052,,-12.470,-9.690,3,-14.080,1824,101.200,,,9.980,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-12",2,43,0.254,-6.326,-0.666,1431,-14.230,721,68.020,93.500,656,46.140,1427,0.252,0.144,14.400,1531,3.876,2.599,,,283.500,9.020,1531,,-11.670,-8.360,1101,-15.160,721,149.900,,,10.190,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-13",2,44,0.000,-4.571,-2.297,1448,-8.670,2358,80.500,92.200,1718,49.020,2330,0.355,0.083,11.450,2207,4.164,2.078,,,98.800,7.550,856,,-7.560,-3.782,1626,-16.780,2400,43.920,,,10.230,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-14",2,45,0.000,-9.340,-3.444,1506,-20.440,712,52.660,83.300,811,35.170,1727,0.156,0.163,12.100,1243,3.218,1.920,,,269.200,9.300,1534,,-17.640,-14.530,1105,-23.370,553,135.500,,,9.910,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-15",2,46,0.000,-13.190,-7.590,2,-24.560,2247,65.430,91.300,710,47.960,1357,0.159,0.078,9.190,930,2.783,1.751,,,287.400,6.932,931,,-18.540,-9.530,606,-28.330,2247,146.500,,,10.090,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-16",2,47,0.000,-21.250,-11.670,1532,-31.300,659,55.440,73.800,518,31.420,1627,0.062,0.064,5.518,1400,1.197,0.202,,,303.200,4.405,1316,,-28.330,-23.280,1118,-34.660,659,162.800,,,9.940,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-17",2,48,0.000,-18.230,-10.400,1326,-28.130,2400,51.990,70.300,2400,32.680,1645,0.076,0.080,6.852,1439,1.723,1.112,,,308.300,4.791,1439,,-25.980,-20.770,1326,-31.940,2337,156.500,,,9.370,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-18",2,49,0.000,-19.230,-8.950,1353,-31.400,645,66.670,89.000,2227,41.760,1042,0.104,0.059,7.390,1513,1.694,0.681,,,260.500,5.544,1514,,-24.130,-15.800,1656,-35.260,646,131.800,,,11.360,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-19",2,50,0.000,-14.350,-6.654,1532,-21.090,704,64.810,88.500,1,46.290,1552,0.129,0.086,9.050,1451,2.909,0.949,,,319.400,6.494,945,,-19.880,-16.070,1502,-23.660,711,169.700,,,11.370,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-20",2,51,1.016,-13.820,-0.527,1058,-25.990,650,62.870,84.000,2336,33.350,1103,0.134,0.122,4.589,1519,0.655,0.573,,,323.800,4.110,1439,,-20.050,-12.410,1055,-28.520,650,163.300,,,10.920,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-21",2,52,0.000,-11.770,-5.004,1447,-19.430,644,69.980,88.900,728,50.750,1323,0.173,0.091,11.370,1630,2.412,1.025,,,315.500,7.910,1553,,-16.420,-13.330,1447,-21.290,612,163.100,,,11.300,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-22",2,53,0.000,-16.820,-11.380,2,-26.890,2400,70.100,83.100,37,53.750,1514,0.119,0.052,11.720,1311,4.276,4.013,,,289.800,9.320,1206,,-21.110,-13.830,38,-29.840,2400,148.800,,,11.210,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-23",2,54,0.000,-18.050,-6.841,1403,-32.010,634,52.670,76.100,1,28.470,1553,0.079,0.106,7.800,1528,1.894,1.759,,,341.800,5.384,1334,,-26.230,-19.520,1015,-35.620,634,180.400,,,10.940,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-24",2,55,0.000,-9.360,-3.263,2400,-15.520,127,63.810,93.700,2400,48.320,742,0.212,0.102,11.860,1422,4.604,4.545,,,152.400,8.890,1004,,-15.200,-4.137,2400,-23.080,123,71.000,,,11.190,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-25",2,56,0.000,-2.214,-0.243,1041,-5.917,2359,94.600,96.500,245,91.800,2353,0.494,0.028,8.850,2242,2.861,0.563,,,76.800,6.763,2258,,-2.968,-0.872,1041,-7.020,2359,35.520,,,11.180,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-26",2,57,0.000,-10.670,-5.928,1,-22.070,2400,85.000,94.900,521,61.610,1525,0.243,0.040,11.360,1541,3.250,1.129,,,251.000,8.640,1521,,-12.790,-7.040,2,-23.900,2400,124.000,,,11.110,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-27",2,58,0.000,-15.800,-5.070,1359,-26.060,651,69.760,85.200,6,48.340,1402,0.129,0.073,5.333,1600,0.951,0.844,,,299.000,4.084,1600,,-20.370,-13.040,944,-28.390,651,173.100,,,10.620,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-02-28",2,59,0.000,-12.220,-7.740,1341,-19.480,2222,80.700,91.900,726,57.370,1432,0.198,0.048,12.260,1330,2.663,0.654,,,219.500,8.910,1344,,-14.940,-10.300,1109,-22.060,2159,91.700,,,11.050,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-01",3,60,0.000,-19.390,-15.580,1458,-25.110,2400,59.090,85.500,102,41.220,1642,0.080,0.056,10.500,1055,3.024,2.184,,,356.600,7.120,1150,,-25.640,-17.900,104,-31.460,2400,192.200,,,11.000,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-02",3,61,0.000,-21.190,-15.570,1414,-29.090,248,54.970,78.300,2400,34.730,1641,0.062,0.059,4.549,1407,1.225,0.966,,,223.800,3.461,1507,,-28.210,-21.110,2359,-34.010,128,107.000,,,10.950,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-03",3,62,0.000,-16.230,-13.800,2314,-18.320,349,81.200,83.600,1755,78.400,1,0.141,0.033,11.440,1953,4.549,4.412,,,106.000,8.130,1207,,-18.710,-16.310,2309,-21.090,2,44.960,,,10.670,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-04",3,63,0.000,-12.820,-10.300,1328,-14.870,2122,82.000,86.400,720,76.800,1116,0.188,0.042,13.980,1523,5.291,4.972,,,108.100,9.970,1526,,-15.270,-12.830,1418,-17.420,2012,47.820,,,10.830,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-05",3,64,0.000,-14.450,-7.390,1457,-24.180,2347,65.260,83.100,2355,38.880,1457,0.128,0.085,11.910,1000,3.977,3.777,,,388.100,9.120,957,,-19.980,-16.900,15,-26.350,2347,199.400,,,10.920,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-06",3,65,0.000,-14.890,-5.475,1456,-28.370,550,60.200,82.900,3,34.910,1724,0.121,0.109,7.560,1202,2.316,2.167,,,394.600,6.038,1353,,-21.510,-14.150,1246,-31.030,550,202.700,,,10.710,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-07",3,66,0.000,-11.370,-5.233,1518,-18.660,523,55.060,66.380,725,43.100,1616,0.145,0.127,10.650,2249,4.396,4.005,,,353.300,8.950,2251,,-18.730,-14.810,1232,-24.340,518,173.000,,,10.910,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-08",3,67,0.000,-7.020,-2.374,1648,-12.330,454,70.000,88.700,1314,58.080,1814,0.260,0.112,9.850,1021,4.077,3.837,,,196.000,7.580,1101,,-11.630,-5.480,1335,-16.890,206,89.600,,,10.910,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-09",3,68,0.000,-2.318,1.789,1543,-6.663,242,68.760,83.100,250,52.470,1708,0.352,0.172,8.400,857,2.813,2.541,,,229.400,6.240,1340,,-7.420,-4.393,1156,-9.760,1,106.700,,,10.740,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-10",3,69,6.858,0.748,8.220,1343,-7.870,627,71.100,95.700,656,45.560,1534,0.449,0.235,8.370,1055,2.722,2.469,,,283.200,6.761,952,,-4.339,-1.472,1118,-8.610,307,130.300,,,10.920,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-11",3,70,0.000,-1.215,1.798,1024,-6.177,520,92.300,97.100,532,81.700,1,0.519,0.045,9.400,2321,3.428,3.114,,,151.600,7.390,1112,,-2.316,-0.015,1020,-6.589,520,66.870,,,10.910,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-12",3,71,0.000,-2.684,1.657,1134,-7.170,726,69.890,89.700,2359,47.180,1515,0.340,0.171,7.290,2244,2.846,2.547,,,353.400,6.039,2113,,-7.850,-4.613,19,-10.420,1151,171.100,,,10.660,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-13",3,72,1.270,-0.433,2.314,1625,-3.776,352,88.500,96.200,747,79.600,1824,0.526,0.072,8.720,1028,3.600,1.744,,,125.400,6.491,1053,,-2.123,-0.015,1310,-5.090,255,53.880,,,10.900,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-14",3,73,0.000,-2.995,0.331,1248,-8.930,2315,94.500,97.300,930,86.100,1,0.474,0.027,12.260,1902,3.298,3.046,,,73.500,8.470,1902,,-3.756,-0.097,1236,-9.910,2400,25.140,,,10.870,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-15",3,74,0.000,-11.960,-8.180,1618,-18.690,2320,70.400,91.400,1,55.240,1707,0.174,0.076,11.600,6,3.271,2.313,,,319.000,8.740,214,,-16.390,-9.950,1,-22.040,2320,151.800,,,10.550,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-16",3,75,0.000,-10.980,-6.390,1414,-19.780,56,63.940,91.700,534,41.940,1543,0.170,0.103,14.050,1326,3.246,0.965,,,357.900,8.860,1326,,-16.880,-10.530,542,-22.970,2331,174.300,,,10.810,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-17",3,76,0.000,-12.600,-8.080,1200,-15.940,648,52.920,64.780,2400,44.410,1427,0.123,0.113,7.660,1521,2.554,2.394,,,276.100,6.294,1521,,-20.290,-17.620,1200,-22.360,225,128.100,,,10.790,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
1989,"1989-03-18",3,77,0.000,-13.460,-5.426,1621,-23.100,613,54.970,83.800,647,26.880,1724,0.113,0.125,8.780,1315,1.927,0.281,,,438.400,6.422,1336,,-21.450,-17.650,1123,-26.360,2355,222.300,,,10.460,,,,,,,,,,,,,,,,,,"D","D",,,,"D",,,,,,,,"E",
